iter	MultiClass
0	0.9910937005
1	0.9076194124
2	0.8421114555
3	0.7902099012
4	0.7474005165
5	0.7119640421
6	0.6827491082
7	0.6587235395
8	0.6383976683
9	0.6212939188
10	0.6065965941
11	0.5942507691
12	0.5837851981
13	0.5747376847
14	0.5669787573
15	0.5600480752
16	0.5544643276
17	0.5491312229
18	0.544906759
19	0.5405776482
20	0.537339649
21	0.5344998357
22	0.5321351078
23	0.5299518848
24	0.5278355572
25	0.5263092058
26	0.5246974998
27	0.5231440247
28	0.5220011865
29	0.5208191264
30	0.5192553909
31	0.5182576377
32	0.5161915868
33	0.5153056011
34	0.5144246706
35	0.5133604909
36	0.5119083282
37	0.5106166168
38	0.5096843966
39	0.5089706521
40	0.5082071258
41	0.5070162748
42	0.5061325575
43	0.5050421697
44	0.5041411118
45	0.503582239
46	0.5025488703
47	0.5013276439
48	0.5005796372
49	0.4997995279
50	0.4993195149
51	0.4980678634
52	0.4970222595
53	0.496493529
54	0.4960725751
55	0.495529324
56	0.4942414269
57	0.4936188083
58	0.4933087396
59	0.4928170141
60	0.4920437967
61	0.4912177409
62	0.4903719861
63	0.4896314129
64	0.4885017337
65	0.4876049241
66	0.4868443731
67	0.485942697
68	0.4851233472
69	0.4843738321
70	0.4836524806
71	0.4830965849
72	0.4827493821
73	0.481945078
74	0.4807297088
75	0.4793942242
76	0.4790019069
77	0.4781167489
78	0.4775802128
79	0.4768815314
80	0.4763363919
81	0.4751728089
82	0.4746179016
83	0.4735595664
84	0.473076076
85	0.4722689404
86	0.4713247139
87	0.4704370888
88	0.4698451325
89	0.4689153693
90	0.4681436833
91	0.4673105963
92	0.466869256
93	0.466190692
94	0.4655160111
95	0.4643372329
96	0.4637082025
97	0.4632510209
98	0.4627633572
99	0.4620787009
100	0.460984767
101	0.4603132922
102	0.4596340161
103	0.4586755874
104	0.457801662
105	0.457030406
106	0.4564924495
107	0.4557717296
108	0.4548656454
109	0.4544539296
110	0.4539313527
111	0.4528736206
112	0.4522099048
113	0.4517156585
114	0.4507633538
115	0.4497830983
116	0.4490322801
117	0.4483271132
118	0.4474287168
119	0.4463109338
120	0.4458044057
121	0.4449022987
122	0.4438967944
123	0.4425315133
124	0.4416766738
125	0.4410217973
126	0.4397728598
127	0.4390217832
128	0.4382286592
129	0.437667575
130	0.4367734295
131	0.4360958669
132	0.4356319061
133	0.4349814356
134	0.4344579927
135	0.4340044989
136	0.433333278
137	0.4327597334
138	0.4317830169
139	0.4312606357
140	0.4306188732
141	0.430273493
142	0.429673531
143	0.4292750325
144	0.4287943036
145	0.4278906438
146	0.4272845291
147	0.4266088212
148	0.4260175304
149	0.4256467452
150	0.4250651674
151	0.4242520864
152	0.4236418225
153	0.4232190945
154	0.4227852812
155	0.4217140116
156	0.4210637037
157	0.4207029336
158	0.4202455546
159	0.4197946825
160	0.4193721304
161	0.4186995162
162	0.4181909215
163	0.4170891783
164	0.416259861
165	0.4152090967
166	0.4145287566
167	0.4142322666
168	0.4132739103
169	0.4125692593
170	0.4121633989
171	0.4117688425
172	0.4109337344
173	0.4102067713
174	0.4097500959
175	0.409309046
176	0.4088723964
177	0.4083793761
178	0.4078021127
179	0.4075249558
180	0.4068283289
181	0.4061724999
182	0.405402786
183	0.4049815853
184	0.4041797804
185	0.4035368156
186	0.4027830644
187	0.4018963963
188	0.4015270135
189	0.4007837913
190	0.4001568976
191	0.399006459
192	0.398330247
193	0.3976787476
194	0.3969922131
195	0.3966771091
196	0.395852471
197	0.3952301627
198	0.3946523522
199	0.3940538126
