iter	Passed	Remaining
0	45	8985
1	75	7508
2	106	6965
3	140	6879
4	171	6691
5	203	6584
6	237	6554
7	270	6485
8	300	6386
9	332	6325
10	364	6267
11	396	6215
12	428	6156
13	462	6139
14	492	6072
15	524	6034
16	556	5994
17	590	5967
18	622	5928
19	653	5879
20	685	5839
21	715	5791
22	746	5746
23	779	5718
24	809	5663
25	840	5627
26	870	5576
27	901	5539
28	935	5514
29	966	5474
30	997	5438
31	1029	5404
32	1058	5356
33	1097	5357
34	1128	5322
35	1160	5285
36	1195	5266
37	1227	5231
38	1258	5196
39	1290	5160
40	1320	5121
41	1351	5082
42	1380	5040
43	1411	5004
44	1442	4967
45	1472	4930
46	1507	4908
47	1539	4875
48	1570	4838
49	1602	4807
50	1633	4772
51	1664	4737
52	1696	4705
53	1728	4673
54	1759	4637
55	1792	4609
56	1824	4577
57	1856	4545
58	1887	4511
59	1919	4478
60	1950	4445
61	1981	4410
62	2019	4391
63	2049	4355
64	2082	4324
65	2114	4292
66	2143	4254
67	2172	4217
68	2209	4194
69	2240	4161
70	2270	4126
71	2304	4096
72	2334	4060
73	2364	4026
74	2397	3995
75	2427	3960
76	2456	3924
77	2487	3891
78	2519	3858
79	2549	3824
80	2581	3793
81	2612	3760
82	2646	3730
83	2675	3694
84	2704	3659
85	2734	3625
86	2765	3592
87	2796	3559
88	2828	3528
89	2858	3493
90	2890	3462
91	2919	3427
92	2950	3395
93	2984	3365
94	3016	3333
95	3045	3299
96	3076	3266
97	3111	3238
98	3143	3206
99	3176	3176
100	3210	3147
101	3242	3115
102	3273	3082
103	3304	3050
104	3336	3018
105	3368	2987
106	3399	2954
107	3431	2922
108	3462	2890
109	3495	2859
110	3525	2826
111	3555	2793
112	3588	2763
113	3619	2730
114	3650	2697
115	3681	2665
116	3714	2635
117	3745	2602
118	3776	2570
119	3807	2538
120	3840	2507
121	3871	2474
122	3902	2443
123	3932	2410
124	3961	2377
125	3994	2346
126	4026	2314
127	4057	2282
128	4090	2251
129	4124	2220
130	4156	2189
131	4192	2159
132	4225	2128
133	4255	2096
134	4288	2064
135	4321	2033
136	4352	2001
137	4381	1968
138	4413	1936
139	4446	1905
140	4477	1873
141	4510	1842
142	4539	1809
143	4572	1778
144	4603	1746
145	4637	1715
146	4670	1683
147	4701	1652
148	4732	1619
149	4762	1587
150	4793	1555
151	4828	1524
152	4861	1493
153	4892	1461
154	4924	1429
155	4957	1398
156	4995	1368
157	5032	1337
158	5065	1306
159	5097	1274
160	5129	1242
161	5159	1210
162	5198	1180
163	5232	1148
164	5262	1116
165	5292	1084
166	5327	1052
167	5360	1021
168	5392	989
169	5423	957
170	5453	924
171	5485	892
172	5516	861
173	5546	828
174	5580	797
175	5615	765
176	5645	733
177	5676	701
178	5708	669
179	5741	637
180	5772	605
181	5805	574
182	5836	542
183	5870	510
184	5902	478
185	5933	446
186	5965	414
187	5997	382
188	6026	350
189	6056	318
190	6089	286
191	6119	254
192	6152	223
193	6196	191
194	6226	159
195	6257	127
196	6291	95
197	6325	63
198	6356	31
199	6390	0
